Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 1,,,,10-01-2024 01:44:25,10-01-2024 01:44:29,4.178s,FAILED
,,,,,,,
Test Cases/POST Create booking,,,,10-01-2024 01:44:25,10-01-2024 01:44:27,2.464s,PASSED
firstName = sample.Common.generateRandomString(),,,,10-01-2024 01:44:25,10-01-2024 01:44:25,0.030s,PASSED
lastName = sample.Common.generateRandomString(),,,,10-01-2024 01:44:25,10-01-2024 01:44:25,0.001s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 01:44:25,10-01-2024 01:44:27,2.240s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.008s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,Verify response,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.024s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.013s,PASSED
"responseFirstName = getElementPropertyValue(response, ""booking.firstname"")",,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.013s,PASSED
"responseLastName = getElementPropertyValue(response, ""booking.lastname"")",,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.014s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.010s,PASSED
firstName = responseFirstName,,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.001s,PASSED
lastName = responseLastName,,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.001s,PASSED
id = id,,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.000s,PASSED
"println(""responseFirstName "" + responseFirstName)",,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.001s,PASSED
"println(""responseLastName "" + responseLastName)",,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.000s,PASSED
"println(""id: "" + id)",,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.000s,PASSED
,,,,,,,
Test Cases/GET Search booking,,by first name and last name,,10-01-2024 01:44:27,10-01-2024 01:44:29,1.608s,FAILED
firstName = firstName,,Send a request to retrieve the list of booking IDs,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.001s,PASSED
lastName = lastName,,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.000s,PASSED
id = id,,,,10-01-2024 01:44:27,10-01-2024 01:44:27,0.001s,PASSED
"response = sendRequestAndVerify(findTestObject(""Object Repository/GET Search booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 01:44:27,10-01-2024 01:44:29,1.534s,PASSED
"println(""Step2: First Name "" + firstName)",,,,10-01-2024 01:44:29,10-01-2024 01:44:29,0.001s,PASSED
"println(""Step2: Last Name "" + lastName)",,,,10-01-2024 01:44:29,10-01-2024 01:44:29,0.001s,PASSED
"println(""Step2: ID "" + id)",,,,10-01-2024 01:44:29,10-01-2024 01:44:29,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 01:44:29,10-01-2024 01:44:29,0.001s,PASSED
"verifyElementPropertyValue(response, ""bookingid"", id)",,Verify,,10-01-2024 01:44:29,10-01-2024 01:44:29,0.016s,FAILED
