Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 3,,,,14-01-2024 23:49:26,14-01-2024 23:49:29,3.012s,ERROR
,,,,,,,
Test Cases/POST Create Token,,,,14-01-2024 23:49:26,14-01-2024 23:49:28,2.680s,PASSED
"response = sendRequest(findTestObject(""POST Create Token""))",,Verify status code ,,14-01-2024 23:49:26,14-01-2024 23:49:28,2.575s,PASSED
"verifyResponseStatusCode(response, 200)",,,,14-01-2024 23:49:28,14-01-2024 23:49:28,0.007s,PASSED
responseBody = response.getResponseBodyContent(),,Stored token,,14-01-2024 23:49:28,14-01-2024 23:49:28,0.003s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,14-01-2024 23:49:28,14-01-2024 23:49:28,0.008s,PASSED
token = token,,,,14-01-2024 23:49:28,14-01-2024 23:49:28,0.004s,PASSED
token = token,,,,14-01-2024 23:49:28,14-01-2024 23:49:28,0.001s,PASSED
"println(""Token: "" + token)",,,,14-01-2024 23:49:28,14-01-2024 23:49:28,0.002s,PASSED
,,,,,,,
Test Cases/Store Token,,,,14-01-2024 23:49:28,14-01-2024 23:49:28,0.028s,PASSED
storedToken = token,,Stored token,,14-01-2024 23:49:28,14-01-2024 23:49:28,0.002s,PASSED
"println(""storedToken "" + storedToken)",,,,14-01-2024 23:49:28,14-01-2024 23:49:28,0.000s,PASSED
,,,,,,,
Test Cases/PUT Update Booking,,,,14-01-2024 23:49:28,14-01-2024 23:49:29,0.072s,ERROR
authToken = token,,,,14-01-2024 23:49:28,14-01-2024 23:49:28,0.000s,PASSED
"request = findTestObject(""PUT Update Booking"", [""id"":""1""])",,,,14-01-2024 23:49:28,14-01-2024 23:49:29,0.028s,PASSED
"request.modifyHeaderProperty([""Cookie"":authToken])",,,,14-01-2024 23:49:29,14-01-2024 23:49:29,0.016s,ERROR
