Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 2,,,,10-01-2024 20:14:10,10-01-2024 20:14:32,21.843s,ERROR
,,,,,,,
Test Cases/POST Create Multiple Booking,,,,10-01-2024 20:14:10,10-01-2024 20:14:13,2.214s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create Multiple Booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 20:14:10,10-01-2024 20:14:12,2.075s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 20:14:12,10-01-2024 20:14:12,0.007s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,,,10-01-2024 20:14:12,10-01-2024 20:14:13,0.028s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 20:14:13,10-01-2024 20:14:13,0.011s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 20:14:13,10-01-2024 20:14:13,0.013s,PASSED
ids = id,,,,10-01-2024 20:14:13,10-01-2024 20:14:13,0.001s,PASSED
"println(""Boooking id: "" + id)",,,,10-01-2024 20:14:13,10-01-2024 20:14:13,0.001s,PASSED
,,,,,,,
Test Cases/POST Create Multiple Booking,,,,10-01-2024 20:14:13,10-01-2024 20:14:29,16.179s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create Multiple Booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 20:14:13,10-01-2024 20:14:29,16.122s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 20:14:29,10-01-2024 20:14:29,0.003s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,,,10-01-2024 20:14:29,10-01-2024 20:14:29,0.016s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 20:14:29,10-01-2024 20:14:29,0.014s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 20:14:29,10-01-2024 20:14:29,0.014s,PASSED
ids = id,,,,10-01-2024 20:14:29,10-01-2024 20:14:29,0.000s,PASSED
"println(""Boooking id: "" + id)",,,,10-01-2024 20:14:29,10-01-2024 20:14:29,0.001s,PASSED
,,,,,,,
Test Cases/POST Create Multiple Booking,,,,10-01-2024 20:14:29,10-01-2024 20:14:32,3.282s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create Multiple Booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 20:14:29,10-01-2024 20:14:32,3.226s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 20:14:32,10-01-2024 20:14:32,0.004s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,,,10-01-2024 20:14:32,10-01-2024 20:14:32,0.014s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 20:14:32,10-01-2024 20:14:32,0.013s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 20:14:32,10-01-2024 20:14:32,0.014s,PASSED
ids = id,,,,10-01-2024 20:14:32,10-01-2024 20:14:32,0.000s,PASSED
"println(""Boooking id: "" + id)",,,,10-01-2024 20:14:32,10-01-2024 20:14:32,0.000s,PASSED
,,,,,,,
Test Cases/GET Booking Ids,,Multiple data,,10-01-2024 20:14:32,10-01-2024 20:14:32,0.004s,ERROR
