Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 1,,,,10-01-2024 19:06:56,10-01-2024 19:07:01,4.271s,ERROR
,,,,,,,
Test Cases/POST Create booking,,,,10-01-2024 19:06:56,10-01-2024 19:06:59,2.520s,PASSED
firstName = sample.Common.generateRandomString(),,,,10-01-2024 19:06:57,10-01-2024 19:06:57,0.025s,PASSED
lastName = sample.Common.generateRandomString(),,,,10-01-2024 19:06:57,10-01-2024 19:06:57,0.004s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 19:06:57,10-01-2024 19:06:59,2.293s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.008s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,Verify response,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.024s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.013s,PASSED
"responseFirstName = getElementPropertyValue(response, ""booking.firstname"")",,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.019s,PASSED
"responseLastName = getElementPropertyValue(response, ""booking.lastname"")",,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.011s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.009s,PASSED
firstName = responseFirstName,,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.000s,PASSED
lastName = responseLastName,,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.001s,PASSED
id = id,,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.001s,PASSED
"println(""responseFirstName "" + responseFirstName)",,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.003s,PASSED
"println(""responseLastName "" + responseLastName)",,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.000s,PASSED
"println(""id: "" + id)",,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.000s,PASSED
,,,,,,,
Test Cases/GET Search booking,,by first name and last name,,10-01-2024 19:06:59,10-01-2024 19:07:01,1.647s,ERROR
firstName = firstName,,Send a request to retrieve the list of booking IDs,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.001s,PASSED
lastName = lastName,,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.001s,PASSED
id = id,,,,10-01-2024 19:06:59,10-01-2024 19:06:59,0.001s,PASSED
"response = sendRequestAndVerify(findTestObject(""Object Repository/GET Search booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 19:06:59,10-01-2024 19:07:01,1.535s,PASSED
"println(""Step2: First Name "" + firstName)",,,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.001s,PASSED
"println(""Step2: Last Name "" + lastName)",,,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.000s,PASSED
"println(""Step2: ID "" + id)",,,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.002s,PASSED
responseBody = response.getResponseBodyContent(),,Verify correct ID,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.001s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.000s,PASSED
userId = bookingid,,,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.002s,PASSED
"println(""ID in response: "" + userId)",,,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.001s,PASSED
"println(""response: "" + responseBody)",,,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.000s,PASSED
"verifyEqual(userId, id)",,,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.008s,PASSED
countID = jsonResponse.collect({ -> ... }),,Verify response only contain 1 ID,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.003s,PASSED
println(countID.size()),,,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.000s,PASSED
"verifyEquals(countID.size(), 1)",,,,10-01-2024 19:07:01,10-01-2024 19:07:01,0.019s,ERROR
