Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 4,,,,24-01-2024 20:36:03,24-01-2024 20:36:10,6.304s,PASSED
,,,,,,,
Test Cases/Ex 4- PATCH_DELETE Booking,,,,24-01-2024 20:36:06,24-01-2024 20:36:10,3.677s,PASSED
firstName = sample.Common.generateRandomString(),,,,24-01-2024 20:36:06,24-01-2024 20:36:06,0.017s,PASSED
lastName = sample.Common.generateRandomString(),,,,24-01-2024 20:36:06,24-01-2024 20:36:06,0.003s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create booking"", [""firstName"":firstName, ""lastName"":lastName]))",,Send request create booking,,24-01-2024 20:36:06,24-01-2024 20:36:08,1.895s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,24-01-2024 20:36:08,24-01-2024 20:36:08,0.005s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,Verify response,,24-01-2024 20:36:08,24-01-2024 20:36:08,0.028s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,24-01-2024 20:36:08,24-01-2024 20:36:08,0.013s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,24-01-2024 20:36:08,24-01-2024 20:36:08,0.013s,PASSED
firstNameUpdate = $firstNameUpdate,,,,24-01-2024 20:36:08,24-01-2024 20:36:08,0.000s,PASSED
lastNameUpdate = $lastNameUpdate,,,,24-01-2024 20:36:08,24-01-2024 20:36:08,0.000s,PASSED
"responseObject = sendRequest(findTestObject(""Object Repository/PATCH Update Booking"", [""id"":id, ""fName"":firstNameUpdate, ""lName"":lastNameUpdate]))",,Send request update first name and last name,,24-01-2024 20:36:08,24-01-2024 20:36:10,1.636s,PASSED
