Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 3,,,,15-01-2024 23:40:35,15-01-2024 23:40:38,2.538s,PASSED
,,,,,,,
Test Cases/POST Create Token,,,,15-01-2024 23:40:35,15-01-2024 23:40:38,2.295s,PASSED
"response = sendRequest(findTestObject(""POST Create Token""))",,Verify status code ,,15-01-2024 23:40:35,15-01-2024 23:40:38,2.189s,PASSED
"verifyResponseStatusCode(response, 200)",,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.007s,PASSED
responseBody = response.getResponseBodyContent(),,Stored token,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.003s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.008s,PASSED
token = token,,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.004s,PASSED
token = token,,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.001s,PASSED
"println(""Token: "" + token)",,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.002s,PASSED
,,,,,,,
Test Cases/Store Token,,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.027s,PASSED
storedToken = token,,Stored token,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.001s,PASSED
"println(""storedToken "" + storedToken)",,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.001s,PASSED
,,,,,,,
Test Cases/PUT Update Booking,,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.098s,PASSED
authToken = token,,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.001s,PASSED
"requestObject = findTestObject(""Object Repository/PUT Update Booking"", [""id"":""1""])",,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.031s,PASSED
"cookie = ""token="" + authToken",,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.000s,PASSED
"println(""cookie = "" + cookie)",,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.000s,PASSED
headersList = new java.util.ArrayList(),,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.001s,PASSED
"headers = [[""name"":""Content-Type"", ""value"":""application/json""], [""name"":""Accept"", ""value"":""application/json""], [""name"":""Cookie"", ""value"":cookie]]",,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.001s,PASSED
headersList.addAll(headers),,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.003s,PASSED
requestObject.setHttpHeaderProperties(headersList),,,,15-01-2024 23:40:38,15-01-2024 23:40:38,0.006s,PASSED
