Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 2,,,,10-01-2024 20:16:24,10-01-2024 20:16:32,8.166s,ERROR
,,,,,,,
Test Cases/POST Create Multiple Booking,,,,10-01-2024 20:16:24,10-01-2024 20:16:28,4.460s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create Multiple Booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 20:16:24,10-01-2024 20:16:28,4.307s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 20:16:28,10-01-2024 20:16:28,0.008s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,,,10-01-2024 20:16:28,10-01-2024 20:16:28,0.029s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 20:16:28,10-01-2024 20:16:28,0.012s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 20:16:28,10-01-2024 20:16:28,0.013s,PASSED
ids = id,,,,10-01-2024 20:16:28,10-01-2024 20:16:28,0.001s,PASSED
"println(""Boooking id: "" + id)",,,,10-01-2024 20:16:28,10-01-2024 20:16:28,0.002s,PASSED
,,,,,,,
Test Cases/POST Create Multiple Booking,,,,10-01-2024 20:16:28,10-01-2024 20:16:30,1.827s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create Multiple Booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 20:16:28,10-01-2024 20:16:30,1.767s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 20:16:30,10-01-2024 20:16:30,0.003s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,,,10-01-2024 20:16:30,10-01-2024 20:16:30,0.016s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 20:16:30,10-01-2024 20:16:30,0.014s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 20:16:30,10-01-2024 20:16:30,0.014s,PASSED
ids = id,,,,10-01-2024 20:16:30,10-01-2024 20:16:30,0.000s,PASSED
"println(""Boooking id: "" + id)",,,,10-01-2024 20:16:30,10-01-2024 20:16:30,0.000s,PASSED
,,,,,,,
Test Cases/POST Create Multiple Booking,,,,10-01-2024 20:16:30,10-01-2024 20:16:32,1.731s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create Multiple Booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 20:16:30,10-01-2024 20:16:32,1.679s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 20:16:32,10-01-2024 20:16:32,0.002s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,,,10-01-2024 20:16:32,10-01-2024 20:16:32,0.015s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 20:16:32,10-01-2024 20:16:32,0.013s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 20:16:32,10-01-2024 20:16:32,0.012s,PASSED
ids = id,,,,10-01-2024 20:16:32,10-01-2024 20:16:32,0.001s,PASSED
"println(""Boooking id: "" + id)",,,,10-01-2024 20:16:32,10-01-2024 20:16:32,0.000s,PASSED
,,,,,,,
Test Cases/GET Booking Ids,,Multiple data,,10-01-2024 20:16:32,10-01-2024 20:16:32,0.014s,ERROR
