Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 2,,,,10-01-2024 20:28:50,10-01-2024 20:28:59,8.718s,ERROR
,,,,,,,
Test Cases/POST Create Multiple Booking,,,,10-01-2024 20:28:50,10-01-2024 20:28:53,2.584s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create Multiple Booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 20:28:51,10-01-2024 20:28:53,2.436s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 20:28:53,10-01-2024 20:28:53,0.008s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,,,10-01-2024 20:28:53,10-01-2024 20:28:53,0.031s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 20:28:53,10-01-2024 20:28:53,0.012s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 20:28:53,10-01-2024 20:28:53,0.014s,PASSED
ids = id,,,,10-01-2024 20:28:53,10-01-2024 20:28:53,0.001s,PASSED
"println(""Boooking id: "" + id)",,,,10-01-2024 20:28:53,10-01-2024 20:28:53,0.001s,PASSED
,,,,,,,
Test Cases/POST Create Multiple Booking,,,,10-01-2024 20:28:53,10-01-2024 20:28:57,4.238s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create Multiple Booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 20:28:53,10-01-2024 20:28:57,4.181s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 20:28:57,10-01-2024 20:28:57,0.003s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,,,10-01-2024 20:28:57,10-01-2024 20:28:57,0.015s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 20:28:57,10-01-2024 20:28:57,0.014s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 20:28:57,10-01-2024 20:28:57,0.015s,PASSED
ids = id,,,,10-01-2024 20:28:57,10-01-2024 20:28:57,0.001s,PASSED
"println(""Boooking id: "" + id)",,,,10-01-2024 20:28:57,10-01-2024 20:28:57,0.000s,PASSED
,,,,,,,
Test Cases/POST Create Multiple Booking,,,,10-01-2024 20:28:57,10-01-2024 20:28:59,1.718s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create Multiple Booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 20:28:57,10-01-2024 20:28:59,1.665s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 20:28:59,10-01-2024 20:28:59,0.002s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,,,10-01-2024 20:28:59,10-01-2024 20:28:59,0.016s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 20:28:59,10-01-2024 20:28:59,0.013s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 20:28:59,10-01-2024 20:28:59,0.013s,PASSED
ids = id,,,,10-01-2024 20:28:59,10-01-2024 20:28:59,0.000s,PASSED
"println(""Boooking id: "" + id)",,,,10-01-2024 20:28:59,10-01-2024 20:28:59,0.001s,PASSED
,,,,,,,
Test Cases/GET Booking Ids,,Multiple data,,10-01-2024 20:28:59,10-01-2024 20:28:59,0.038s,ERROR
