Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 3,,,,16-01-2024 00:23:33,16-01-2024 00:23:39,5.526s,FAILED
,,,,,,,
Test Cases/POST Create Token,,,,16-01-2024 00:23:33,16-01-2024 00:23:36,2.316s,PASSED
"response = sendRequest(findTestObject(""POST Create Token""))",,Verify status code ,,16-01-2024 00:23:33,16-01-2024 00:23:36,2.195s,PASSED
"verifyResponseStatusCode(response, 200)",,,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.008s,PASSED
responseBody = response.getResponseBodyContent(),,Stored token,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.003s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.007s,PASSED
token = token,,,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.004s,PASSED
token = token,,,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.001s,PASSED
"println(""Token: "" + token)",,,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.001s,PASSED
,,,,,,,
Test Cases/Store Token,,,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.027s,PASSED
storedToken = token,,Stored token,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.001s,PASSED
"println(""storedToken "" + storedToken)",,,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.001s,PASSED
,,,,,,,
Test Cases/POST Create booking,,,,16-01-2024 00:23:36,16-01-2024 00:23:37,1.587s,PASSED
firstName = sample.Common.generateRandomString(),,,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.017s,PASSED
lastName = sample.Common.generateRandomString(),,,,16-01-2024 00:23:36,16-01-2024 00:23:36,0.002s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,16-01-2024 00:23:36,16-01-2024 00:23:37,1.433s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.003s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,Verify response,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.023s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.013s,PASSED
"responseFirstName = getElementPropertyValue(response, ""booking.firstname"")",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.015s,PASSED
"responseLastName = getElementPropertyValue(response, ""booking.lastname"")",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.009s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.009s,PASSED
firstName = responseFirstName,,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.000s,PASSED
lastName = responseLastName,,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.000s,PASSED
id = id,,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.001s,PASSED
"println(""responseFirstName "" + responseFirstName)",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.001s,PASSED
"println(""responseLastName "" + responseLastName)",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.000s,PASSED
"println(""id: "" + id)",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.001s,PASSED
,,,,,,,
Test Cases/PUT Update Booking,,,,16-01-2024 00:23:37,16-01-2024 00:23:39,1.467s,FAILED
authToken = token,,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.000s,PASSED
id = id,,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.001s,PASSED
"firstName = ""Cuc""",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.000s,PASSED
"lastName = ""123 test""",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.000s,PASSED
"requestObject = findTestObject(""Object Repository/PUT Update Booking"", [""id"":id, ""firstName"":firstName, ""lastName"":lastName])",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.029s,PASSED
"cookie = ""token="" + authToken",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.001s,PASSED
"println(""cookie = "" + cookie)",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.001s,PASSED
headersList = new java.util.ArrayList(),,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.000s,PASSED
"headersList.add(new com.kms.katalon.core.testobject.TestObjectProperty(Content-Type, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json))",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.005s,PASSED
"headersList.add(new com.kms.katalon.core.testobject.TestObjectProperty(Accept, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json))",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.001s,PASSED
"headersList.add(new com.kms.katalon.core.testobject.TestObjectProperty(Cookie, com.kms.katalon.core.testobject.ConditionType.EQUALS, cookie))",,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.000s,PASSED
requestObject.setHttpHeaderProperties(headersList),,,,16-01-2024 00:23:37,16-01-2024 00:23:37,0.005s,PASSED
response = sendRequest(requestObject),,,,16-01-2024 00:23:37,16-01-2024 00:23:39,1.357s,PASSED
"verifyResponseStatusCode(response, 200)",,Verify status code,,16-01-2024 00:23:39,16-01-2024 00:23:39,0.008s,FAILED
