Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PUT,,,,25-01-2024 22:19:00,25-01-2024 22:19:06,6.561s,PASSED
,,,,,,,
Test Cases/PUT Update Booking,,,,25-01-2024 22:19:02,25-01-2024 22:19:06,3.740s,PASSED
firstName = sample.Common.generateRandomString(),,,,25-01-2024 22:19:02,25-01-2024 22:19:02,0.017s,PASSED
lastName = sample.Common.generateRandomString(),,,,25-01-2024 22:19:02,25-01-2024 22:19:02,0.001s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create booking"", [""firstName"":firstName, ""lastName"":lastName]))",,Send request create booking,,25-01-2024 22:19:02,25-01-2024 22:19:04,1.782s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,25-01-2024 22:19:04,25-01-2024 22:19:04,0.005s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,Verify response,,25-01-2024 22:19:04,25-01-2024 22:19:04,0.027s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,25-01-2024 22:19:04,25-01-2024 22:19:04,0.014s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,25-01-2024 22:19:04,25-01-2024 22:19:04,0.014s,PASSED
firstNameUpdate = $firstNameUpdate,,,,25-01-2024 22:19:04,25-01-2024 22:19:04,0.001s,PASSED
lastNameUpdate = $lastNameUpdate,,,,25-01-2024 22:19:04,25-01-2024 22:19:04,0.001s,PASSED
"responseObject = sendRequest(findTestObject(""Object Repository/PUT Update Booking"", [""id"":id, ""firstNameUpdate"":firstNameUpdate, ""lastNameUpdate"":lastNameUpdate]))",,Send request update first name and last name,,25-01-2024 22:19:04,25-01-2024 22:19:06,1.782s,PASSED
"verifyResponseStatusCode(responseObject, 200)",,Verify status code,,25-01-2024 22:19:06,25-01-2024 22:19:06,0.005s,PASSED
responseBody = responseObject.getResponseBodyContent(),,Verify respone,,25-01-2024 22:19:06,25-01-2024 22:19:06,0.001s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,25-01-2024 22:19:06,25-01-2024 22:19:06,0.001s,PASSED
firstNameRes = firstname,,,,25-01-2024 22:19:06,25-01-2024 22:19:06,0.001s,PASSED
lastNameRes = lastname,,,,25-01-2024 22:19:06,25-01-2024 22:19:06,0.001s,PASSED
"println(""RESPONE: "" + jsonResponse)",,,,25-01-2024 22:19:06,25-01-2024 22:19:06,0.001s,PASSED
"verifyEqual(lastNameRes, lastNameUpdate)",,,,25-01-2024 22:19:06,25-01-2024 22:19:06,0.006s,PASSED
"verifyEqual(firstNameRes, firstNameUpdate)",,,,25-01-2024 22:19:06,25-01-2024 22:19:06,0.002s,PASSED
