Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 3,,,,15-01-2024 23:29:06,15-01-2024 23:29:09,2.553s,ERROR
,,,,,,,
Test Cases/POST Create Token,,,,15-01-2024 23:29:06,15-01-2024 23:29:09,2.310s,PASSED
"response = sendRequest(findTestObject(""POST Create Token""))",,Verify status code ,,15-01-2024 23:29:07,15-01-2024 23:29:09,2.187s,PASSED
"verifyResponseStatusCode(response, 200)",,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.009s,PASSED
responseBody = response.getResponseBodyContent(),,Stored token,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.004s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.007s,PASSED
token = token,,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.003s,PASSED
token = token,,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.001s,PASSED
"println(""Token: "" + token)",,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.002s,PASSED
,,,,,,,
Test Cases/Store Token,,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.027s,PASSED
storedToken = token,,Stored token,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.001s,PASSED
"println(""storedToken "" + storedToken)",,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.000s,PASSED
,,,,,,,
Test Cases/PUT Update Booking,,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.087s,ERROR
authToken = token,,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.001s,PASSED
"requestObject = findTestObject(""Object Repository/PUT Update Booking"", [""id"":""1""])",,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.027s,PASSED
"cookie = ""token="" + authToken",,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.001s,PASSED
"println(""cookie = "" + cookie)",,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.001s,PASSED
httpHeaders = new java.util.ArrayList(),,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.001s,PASSED
"httpHeaders.add(new com.kms.katalon.core.testobject.TestObjectProperty(Content-Type, application/json))",,,,15-01-2024 23:29:09,15-01-2024 23:29:09,0.004s,ERROR
