Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PUT,,,,25-01-2024 22:22:15,25-01-2024 22:22:21,6.680s,PASSED
,,,,,,,
Test Cases/PUT Update Booking,,,,25-01-2024 22:22:15,25-01-2024 22:22:21,6.563s,PASSED
Start setup action : setupTestCase,,,,25-01-2024 22:22:15,25-01-2024 22:22:18,2.622s,PASSED
firstName = sample.Common.generateRandomString(),,,,25-01-2024 22:22:18,25-01-2024 22:22:18,0.022s,PASSED
lastName = sample.Common.generateRandomString(),,,,25-01-2024 22:22:18,25-01-2024 22:22:18,0.002s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create booking"", [""firstName"":firstName, ""lastName"":lastName]))",,Send request create booking,,25-01-2024 22:22:18,25-01-2024 22:22:19,1.785s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,25-01-2024 22:22:19,25-01-2024 22:22:19,0.005s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,Verify response,,25-01-2024 22:22:19,25-01-2024 22:22:19,0.028s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,25-01-2024 22:22:19,25-01-2024 22:22:19,0.014s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,25-01-2024 22:22:19,25-01-2024 22:22:19,0.015s,PASSED
firstNameUpdate = $firstNameUpdate,,,,25-01-2024 22:22:19,25-01-2024 22:22:19,0.001s,PASSED
lastNameUpdate = $lastNameUpdate,,,,25-01-2024 22:22:19,25-01-2024 22:22:19,0.001s,PASSED
"responseObject = sendRequest(findTestObject(""Object Repository/PUT Update Booking"", [""id"":id, ""firstNameUpdate"":firstNameUpdate, ""lastNameUpdate"":lastNameUpdate]))",,Send request update first name and last name,,25-01-2024 22:22:19,25-01-2024 22:22:21,1.932s,PASSED
"verifyResponseStatusCode(responseObject, 200)",,Verify status code,,25-01-2024 22:22:21,25-01-2024 22:22:21,0.004s,PASSED
responseBody = responseObject.getResponseBodyContent(),,Verify respone,,25-01-2024 22:22:21,25-01-2024 22:22:21,0.002s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,25-01-2024 22:22:21,25-01-2024 22:22:21,0.002s,PASSED
firstNameRes = firstname,,,,25-01-2024 22:22:21,25-01-2024 22:22:21,0.001s,PASSED
lastNameRes = lastname,,,,25-01-2024 22:22:21,25-01-2024 22:22:21,0.001s,PASSED
"println(""RESPONE: "" + jsonResponse)",,,,25-01-2024 22:22:21,25-01-2024 22:22:21,0.001s,PASSED
"verifyEqual(lastNameRes, lastNameUpdate)",,,,25-01-2024 22:22:21,25-01-2024 22:22:21,0.016s,PASSED
"verifyEqual(firstNameRes, firstNameUpdate)",,,,25-01-2024 22:22:21,25-01-2024 22:22:21,0.002s,PASSED
