Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 4,,,,24-01-2024 20:47:58,24-01-2024 20:48:04,6.037s,PASSED
,,,,,,,
Test Cases/Ex 4- PATCH_DELETE Booking,,,,24-01-2024 20:48:01,24-01-2024 20:48:04,3.057s,PASSED
firstName = sample.Common.generateRandomString(),,,,24-01-2024 20:48:01,24-01-2024 20:48:01,0.023s,PASSED
lastName = sample.Common.generateRandomString(),,,,24-01-2024 20:48:01,24-01-2024 20:48:01,0.001s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create booking"", [""firstName"":firstName, ""lastName"":lastName]))",,Send request create booking,,24-01-2024 20:48:01,24-01-2024 20:48:03,1.424s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,24-01-2024 20:48:03,24-01-2024 20:48:03,0.003s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,Verify response,,24-01-2024 20:48:03,24-01-2024 20:48:03,0.015s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,24-01-2024 20:48:03,24-01-2024 20:48:03,0.009s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,24-01-2024 20:48:03,24-01-2024 20:48:03,0.012s,PASSED
firstNameUpdate = $firstNameUpdate,,,,24-01-2024 20:48:03,24-01-2024 20:48:03,0.001s,PASSED
lastNameUpdate = $lastNameUpdate,,,,24-01-2024 20:48:03,24-01-2024 20:48:03,0.001s,PASSED
"println(""id "" + id)",,,,24-01-2024 20:48:03,24-01-2024 20:48:03,0.001s,PASSED
"responseObject = sendRequest(findTestObject(""Object Repository/PATCH Update Booking"", [""id"":id, ""fName"":firstNameUpdate, ""lName"":lastNameUpdate]))",,Send request update first name and last name,,24-01-2024 20:48:03,24-01-2024 20:48:04,1.463s,PASSED
"verifyResponseStatusCode(responseObject, 200)",,Verify status code,,24-01-2024 20:48:04,24-01-2024 20:48:04,0.003s,PASSED
responseBody = responseObject.getResponseBodyContent(),,Verify respone,,24-01-2024 20:48:04,24-01-2024 20:48:04,0.001s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,24-01-2024 20:48:04,24-01-2024 20:48:04,0.001s,PASSED
firstNameRes = firstname,,,,24-01-2024 20:48:04,24-01-2024 20:48:04,0.001s,PASSED
lastNameRes = lastname,,,,24-01-2024 20:48:04,24-01-2024 20:48:04,0.001s,PASSED
"println(""RESPONE: "" + jsonResponse)",,,,24-01-2024 20:48:04,24-01-2024 20:48:04,0.002s,PASSED
"verifyEqual(lastNameRes, lastNameUpdate)",,,,24-01-2024 20:48:04,24-01-2024 20:48:04,0.009s,PASSED
"verifyEqual(firstNameRes, firstNameUpdate)",,,,24-01-2024 20:48:04,24-01-2024 20:48:04,0.001s,PASSED
