Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 3,,,,14-01-2024 23:54:54,14-01-2024 23:54:57,2.593s,ERROR
,,,,,,,
Test Cases/POST Create Token,,,,14-01-2024 23:54:54,14-01-2024 23:54:57,2.303s,PASSED
"response = sendRequest(findTestObject(""POST Create Token""))",,Verify status code ,,14-01-2024 23:54:55,14-01-2024 23:54:57,2.185s,PASSED
"verifyResponseStatusCode(response, 200)",,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.009s,PASSED
responseBody = response.getResponseBodyContent(),,Stored token,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.003s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.008s,PASSED
token = token,,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.003s,PASSED
token = token,,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.001s,PASSED
"println(""Token: "" + token)",,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.002s,PASSED
,,,,,,,
Test Cases/Store Token,,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.028s,PASSED
storedToken = token,,Stored token,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.002s,PASSED
"println(""storedToken "" + storedToken)",,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.000s,PASSED
,,,,,,,
Test Cases/PUT Update Booking,,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.145s,ERROR
authToken = token,,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.001s,PASSED
"request = findTestObject(""PUT Update Booking"", [""id"":""1""])",,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.039s,PASSED
"request.modifyHeaderProperty([""Cookie"":""authToken""])",,,,14-01-2024 23:54:57,14-01-2024 23:54:57,0.041s,ERROR
