Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 1,,,,10-01-2024 01:03:03,10-01-2024 01:03:07,4.090s,PASSED
,,,,,,,
Test Cases/POST Create booking,,,,10-01-2024 01:03:03,10-01-2024 01:03:06,2.396s,PASSED
firstName = sample.Common.generateRandomString(),,,,10-01-2024 01:03:04,10-01-2024 01:03:04,0.025s,PASSED
lastName = sample.Common.generateRandomString(),,,,10-01-2024 01:03:04,10-01-2024 01:03:04,0.002s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 01:03:04,10-01-2024 01:03:06,2.174s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.008s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,Verify response,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.030s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.011s,PASSED
"responseFirstName = getElementPropertyValue(response, ""booking.firstname"")",,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.019s,PASSED
"responseLastName = getElementPropertyValue(response, ""booking.lastname"")",,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.013s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.011s,PASSED
firstName = responseFirstName,,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.001s,PASSED
lastName = responseLastName,,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.000s,PASSED
id = id,,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.001s,PASSED
"println(""responseFirstName "" + responseFirstName)",,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.002s,PASSED
"println(""responseLastName "" + responseLastName)",,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.000s,PASSED
"println(""id: "" + id)",,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.001s,PASSED
,,,,,,,
Test Cases/GET Search booking,,by first name and last name,,10-01-2024 01:03:06,10-01-2024 01:03:07,1.590s,PASSED
firstName = firstName,,Send a request to retrieve the list of booking IDs,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.001s,PASSED
lastName = lastName,,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.001s,PASSED
id = id,,,,10-01-2024 01:03:06,10-01-2024 01:03:06,0.000s,PASSED
"response = sendRequestAndVerify(findTestObject(""Object Repository/GET Search booking"", [""firstName"":firstName, ""lastName"":lastName]))",,,,10-01-2024 01:03:06,10-01-2024 01:03:07,1.534s,PASSED
"println(""Step2: First Name "" + firstName)",,,,10-01-2024 01:03:07,10-01-2024 01:03:07,0.001s,PASSED
"println(""Step2: Last Name "" + lastName)",,,,10-01-2024 01:03:07,10-01-2024 01:03:07,0.001s,PASSED
"println(""Step2: ID "" + id)",,,,10-01-2024 01:03:07,10-01-2024 01:03:07,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,10-01-2024 01:03:07,10-01-2024 01:03:07,0.003s,PASSED
responseBody = response.getResponseBodyContent(),,Verify,,10-01-2024 01:03:07,10-01-2024 01:03:07,0.000s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,10-01-2024 01:03:07,10-01-2024 01:03:07,0.002s,PASSED
userId = bookingid,,,,10-01-2024 01:03:07,10-01-2024 01:03:07,0.003s,PASSED
"println(""ID in response: "" + userId)",,,,10-01-2024 01:03:07,10-01-2024 01:03:07,0.001s,PASSED
