Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 3,,,,15-01-2024 23:12:13,15-01-2024 23:12:16,2.564s,ERROR
,,,,,,,
Test Cases/POST Create Token,,,,15-01-2024 23:12:13,15-01-2024 23:12:16,2.322s,PASSED
"response = sendRequest(findTestObject(""POST Create Token""))",,Verify status code ,,15-01-2024 23:12:13,15-01-2024 23:12:16,2.212s,PASSED
"verifyResponseStatusCode(response, 200)",,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.007s,PASSED
responseBody = response.getResponseBodyContent(),,Stored token,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.003s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.007s,PASSED
token = token,,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.004s,PASSED
token = token,,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.000s,PASSED
"println(""Token: "" + token)",,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.002s,PASSED
,,,,,,,
Test Cases/Store Token,,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.026s,PASSED
storedToken = token,,Stored token,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.001s,PASSED
"println(""storedToken "" + storedToken)",,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.001s,PASSED
,,,,,,,
Test Cases/PUT Update Booking,,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.091s,ERROR
authToken = token,,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.001s,PASSED
"requestObject = findTestObject(""Object Repository/PUT Update Booking"", [""id"":""1""])",,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.025s,PASSED
"cookie = ""token="" + $({ -> ... })",,,,15-01-2024 23:12:16,15-01-2024 23:12:16,0.005s,ERROR
